Station Name,Venue Name,Distance,Primary Category
Niederhofstraße U6,INTERSPAR-Restaurant,100,Dining and Drinking
Niederhofstraße U6,Palatin,121,Bar
Niederhofstraße U6,Weidlich,122,Café
Niederhofstraße U6,Lucky Fen,144,Chinese Restaurant
Niederhofstraße U6,Yakisoba,157,Chinese Restaurant
Niederhofstraße U6,Cafe Konditorei Caramel,157,Bakery
Alser Straße U6,Yao88,25,Asian Restaurant
Alser Straße U6,Pizzeria Casa Piccola,29,Pizzeria
Alser Straße U6,Imbiss Bostan,34,Fast Food Restaurant
Alser Straße U6,Zeitcafe,49,Dining and Drinking
Alser Straße U6,McDonald's,50,Burger Joint
Alser Straße U6,Kral Kebap,56,Falafel Restaurant
Alser Straße U6,Deniz Kebap alser strasse,58,Doner Restaurant
Alser Straße U6,Bäckerei Aslan,61,Bakery
Alser Straße U6,Cafe-Restaurant KA & KO,66,Café
Alser Straße U6,Kebab-Stand Alserstraße,71,Doner Restaurant
WU-Campus / Südportalstraße ,Library Cafe WU,103,Café
WU-Campus / Südportalstraße ,Anker,163,Bakery
WU-Campus / Südportalstraße ,Afro Coffee,183,Café
WU-Campus / Südportalstraße ,Das Campus,191,Modern European Restaurant
WU-Campus / Südportalstraße ,Garten Buffet,272,Dining and Drinking
WU-Campus / Südportalstraße ,Die Allee - zum Genuss,305,Dining and Drinking
WU-Campus / Südportalstraße ,Travel Shack's Hideaway,309,Bar
WU-Campus / Südportalstraße ,L'Osteria Wien Wirtschaftsuni,313,Bar
WU-Campus / Südportalstraße ,Konstantineck,313,Café
WU-Campus / Südportalstraße ,Mörwald's Palazzo,314,Dining and Drinking
Bahngasse / mdw-University of Music and Performing Arts,Pizzastandl,120,Italian Restaurant
Bahngasse / mdw-University of Music and Performing Arts,Pizzeria Grado,131,Pizzeria
Bahngasse / mdw-University of Music and Performing Arts,Chinarestaurant No. 27,215,Szechuan Restaurant
Bahngasse / mdw-University of Music and Performing Arts,AGGYS coffeeshop,222,Café
Bahngasse / mdw-University of Music and Performing Arts,Meze Meze,222,Bar
Bahngasse / mdw-University of Music and Performing Arts,"Restaurant zum alten Heller, Fam. Fügert",226,Dining and Drinking
Bahngasse / mdw-University of Music and Performing Arts,Pizzeria Vulcano,229,Pizzeria
Bahngasse / mdw-University of Music and Performing Arts,Winklers zum Posthorn,241,Diner
Bahngasse / mdw-University of Music and Performing Arts,Bieramt,252,Bar
Bahngasse / mdw-University of Music and Performing Arts,HAN am Stadtpark,254,Korean Restaurant
Radetzkyplatz,Gasthaus Wild,16,Austrian Restaurant
Radetzkyplatz,5 Sterne Deluxe,20,Hot Dog Joint
Radetzkyplatz,Vital Pizza & Pasta,32,Italian Restaurant
Radetzkyplatz,Anker,37,Bakery
Radetzkyplatz,Cafe Menta,40,Café
Radetzkyplatz,Nesim,41,Kebab Restaurant
Radetzkyplatz,Lili's Snack & Meal,59,Asian Restaurant
Radetzkyplatz,Mediterania,60,Mediterranean Restaurant
Radetzkyplatz,Kolonitz Beis'l,87,Dining and Drinking
Radetzkyplatz,Indus,136,Indian Restaurant
Rochusmarkt,Rojda Grill Restaurant,2,Turkish Restaurant
Rochusmarkt,Stellas,52,Dining and Drinking
Rochusmarkt,Cafe Zuckergoscherl,54,Dining and Drinking
Rochusmarkt,Zum Schmankerlwirt,64,Austrian Restaurant
Rochusmarkt,I-O Espresso,70,Café
Rochusmarkt,Trimelli,73,Pizzeria
Rochusmarkt,Döner H.A.S. Rochusmarkt,76,Turkish Restaurant
Rochusmarkt,Falafel Box,78,Falafel Restaurant
Rochusmarkt,Rochus Würstl,79,Sandwich Spot
Rochusmarkt,Pappa & Ciccia,81,Italian Restaurant
Spittelau S U,Ströck,65,Bakery
Spittelau S U,Imbiss Kebap,97,Doner Restaurant
Spittelau S U,Fein,111,Diner
Spittelau S U,Ersi Imbiss,148,Falafel Restaurant
Spittelau S U,The Mekan,150,Kebab Restaurant
Spittelau S U,Fette Berta,159,Snack Place
Spittelau S U,Fine - Snack Factory,160,Fast Food Restaurant
Spittelau S U,Kizilkayalar,203,Food Court
Spittelau S U,Wu's Noodles,204,Asian Restaurant
Spittelau S U,In Eat Out,208,Hot Dog Joint
Währinger Straße U6,Tullnerfelder Bäcker,41,Bakery
Währinger Straße U6,W.A Sanchez Burritos Tacos & Co,44,Burrito Restaurant
Währinger Straße U6,Bäckerei Josef Schrott,48,Bakery
Währinger Straße U6,Tibet Kultur Restaurant Songtsen Gampo,52,Asian Restaurant
Währinger Straße U6,Zur Bosnerei,52,BBQ Joint
Währinger Straße U6,Kantine Volksoper,62,Dining and Drinking
Währinger Straße U6,Café Io,62,Café
Währinger Straße U6,Tao Minibar,69,Sushi Restaurant
Währinger Straße U6,Lili Asia-Restaurant,84,Buffet
Währinger Straße U6,Bäckerei Geier,94,Bakery
Schüttauplatz,Gasthaus Seidles,49,Dining and Drinking
Schüttauplatz,Schüttau Kebap,60,Kebab Restaurant
Schüttauplatz,China Restaurant Shang Hau,69,Asian Restaurant
Schüttauplatz,Vorstadtwirt,72,Austrian Restaurant
Schüttauplatz,"Pizzakaiser - Pizza 2 go, Pizza & andere Speisen auch zum Bestellen",89,Pizzeria
Schüttauplatz,Cafe Plaudertascherl,91,Café
Schüttauplatz,Trento Bortolotti Gourmet,94,Café
Schüttauplatz,Rudolf Schuller,107,Butcher
Schüttauplatz,Wiener Schnitz'l Land,133,Fried Chicken Joint
Schüttauplatz,D-Wok,138,Asian Restaurant
Schwedenplatz,Angaralı Kebabcı,30,Steakhouse
Schwedenplatz,Hoppala Kebap!,34,Fast Food Restaurant
Schwedenplatz,Castelletto,37,Café
Schwedenplatz,McDonald's,38,Burger Joint
Schwedenplatz,Würstelstand beim Schwedenplatz,61,BBQ Joint
Schwedenplatz,Max & Benito,65,Burrito Restaurant
